date,strategy,action,holdings,cash,equity,note,logged_at,prev_hash,row_hash
2026-07-30,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,9981.19,,2026-07-30 20:10,9b6cb7071c1ddb4bbe1c30c9d3a4a3a58d1c964dc496b6a7f104ca7a91880b7d,5094efd577208d895f4bc12319cc6e48aff5c03aad2b40fa94e8ad5f6283caf3
2026-07-31,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10081.18,,2026-07-31 20:14,5094efd577208d895f4bc12319cc6e48aff5c03aad2b40fa94e8ad5f6283caf3,be8195ba00d3278b1f311f5fe5e08dbcfa17ebf1f357f78311d15b12bf20ece5
2026-07-31,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,7366.06,,2026-07-31 20:14,be8195ba00d3278b1f311f5fe5e08dbcfa17ebf1f357f78311d15b12bf20ece5,23e01f83869842da5e91e4ac9bf791f20149cca0cea229b1961f6e92dbe9c16e
2026-07-31,overnight,ROLL,{},10372.99,10372.99,隔夜+1.25%-成本,2026-07-31 20:14,23e01f83869842da5e91e4ac9bf791f20149cca0cea229b1961f6e92dbe9c16e,3abc11697d9d47b76d5a0c85c47f03d18f11a7bb4e3f025c7952842c04fb1cd2
2026-07-31,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9619.94,,2026-07-31 20:14,3abc11697d9d47b76d5a0c85c47f03d18f11a7bb4e3f025c7952842c04fb1cd2,88d513583dc7b7e95be0c16871c4761550214a2ad977c7560b46428d82b0c276
2026-07-31,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10081.18,,2026-07-31 20:14,88d513583dc7b7e95be0c16871c4761550214a2ad977c7560b46428d82b0c276,29348b198a304deefba72a2892826e14ea688c13c9c5ff959e31b2dcd17cd5b9
2026-08-03,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10295.75,,2026-08-03 20:06,29348b198a304deefba72a2892826e14ea688c13c9c5ff959e31b2dcd17cd5b9,310d99e6c79ba0677b3ced9668810c4981f3324d1555adf27189e67b004c6518
2026-08-03,momentum,REBAL,"{""SNDK"": 1.950279, ""AMD"": 5.183267, ""MU"": 3.028352}",0.0,7536.06,调仓→SNDK(124%)+AMD(105%)+MU(100%),2026-08-03 20:06,310d99e6c79ba0677b3ced9668810c4981f3324d1555adf27189e67b004c6518,a55717e342c81a3a5c2e1ccc54c50ffd5ab175b2577c6540ab7199f58aeb5ebb
2026-08-03,overnight,ROLL,{},10376.19,10376.19,隔夜+0.05%-成本,2026-08-03 20:06,a55717e342c81a3a5c2e1ccc54c50ffd5ab175b2577c6540ab7199f58aeb5ebb,c5a1743ca692b292837a563a02fc59fb46be6923e1eed4db2238f15c264e2630
2026-08-03,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9824.68,,2026-08-03 20:06,c5a1743ca692b292837a563a02fc59fb46be6923e1eed4db2238f15c264e2630,a1a912533eabd9585be6f54a01d16e1ded282ff3601ebccf9104001dae4778ff
